objectID,Title,ArtistName,Department,TimePeriod,Height,Width,H/W Ratio,Color,Region Detailed,Region Broad,Country
36170,"Animals, Flowers and Birds",Ren Yi (Ren Bonian),Asian Art,19th century,4000,3176,1.2594458438287153,RGB,China,China,China
36171,Landscapes,Zhang Zhiwan,Asian Art,dated 1875,3714,4000,0.9285,RGB,China,China,China
36184,Insects and Flowers,Ju Lian,Asian Art,Unavailable,2000,1792,1.1160714285714286,RGB,China,China,China
36430,Tiger,Unidentified,Asian Art,14th century,2998,4000,0.7495,RGB,China,China,China
36431,Dragon,Unidentified,Asian Art,14th century,2998,4000,0.7495,RGB,China,China,China
36432,Plum Blossoms,Jin Nong,Asian Art,dated 1757,1882,1585,1.1873817034700316,RGB,China,China,China
36433,Portrait of Ren'an in a Landscape,Shitao (Zhu Ruoji),Asian Art,dated 1684,948,629,1.507154213036566,RGB,China,China,China
36457,Grapevine in the Wind,Unidentified artist,Asian Art,16th century,2153,4000,0.53825,RGB,Korea,Korea,Korea
36459,Peacock and Hollyhocks,Bian Lu,Asian Art,mid-14th century,2241,3713,0.6035550767573391,RGB,China,China,China
37393,Zhong Kui,Ren Yi (Ren Bonian),Asian Art,dated 1883,1108,1982,0.5590312815338042,RGB,China,China,China
37394,Boating beneath Echo Hill,Mei Qing,Asian Art,datable to 1673,2125,3766,0.564259160913436,RGB,China,China,China
37395,Miscellaneous Studies,Chen Hongshou,Asian Art,one leaf dated 1619,3351,3849,0.8706157443491817,RGB,China,China,China
37396,"Figures, flowers, and landscapes",Chen Hongshou,Asian Art,one leaf dated 1627,1697,1904,0.8912815126050421,RGB,China,China,China
37793,Pair of Hindu Manuscript Covers,Unavailable,Asian Art,12th century,925,543,1.703499079189687,RGB,Nepal (Kathmandu Valley),Nepal,Nepal
37800,Sadaksari-Lokeshvara Surrounded by Manifestations and Monks,Unavailable,Asian Art,late 15th century,2978,3722,0.800107469102633,RGB,China,China,China
37801,Portrait of Jnanatapa Attended by Lamas and Mahasiddhas,Unavailable,Asian Art,ca. 1350,3211,4000,0.80275,RGB,"Eastern Tibet, Kham, Riwoche monastery",China,China
37803,Mandala of Hevajra,Sakya School,Asian Art,16th century,2667,4000,0.66675,RGB,China,China,China
37811,Demons Fighting Over an Animal Limb,Unavailable,Asian Art,late 17th century,2491,3811,0.6536342167410129,RGB,"India (Rajasthan, Bikaner or the Deccan)",India,India
37819,"Buddhist Attendant, Possibly a Dakini",Unavailable,Asian Art,late 18th century,1114,1972,0.5649087221095335,RGB,Eastern Tibet,China,China
37855,Krishna's Parents Search for Him,Unavailable,Asian Art,ca. 1615,3985,3357,1.1870717902889485,RGB,India,India,India
37869,A Lady Applying Henna to Her Foot,"Ustad Mohamed, son of Murad",Asian Art,ca. 1720–30,2263,4000,0.56575,RGB,"India (Rajasthan, Bikaner)",India,India
37873,Lady Musician Playing a Sitar,Unavailable,Asian Art,ca. 1800,1239,2000,0.6195,RGB,"India (Rajasthan, Kota)",India,India
37876,Portrait of Thakur Utham Ram,Unavailable,Asian Art,ca. 1760,4000,3262,1.226241569589209,RGB,"India (Rajasthan, Jhilai)",India,India
37877,Head of Krishna: cartoon for a mural of the Raslila,Sahib Ram,Asian Art,ca. 1800,2713,3937,0.6891033782067564,RGB,"India (Rajasthan, Jaipur)",India,India
37878,Preparatory Study for a Portrait of Man Singh and His Harem,Unavailable,Asian Art,1810–15,3814,2657,1.4354535190063982,RGB,"India (Rajasthan, Jodhpur)",India,India
37880,An Encampment of Yogis,Unavailable,Asian Art,ca. 1660,2824,4000,0.706,RGB,"India (Deccan, Aurangabad?)",India,India
37898,A King Seated on His Throne,Unavailable,Asian Art,1725,3533,2728,1.2950879765395895,RGB,India (Gujarat),India,India
37913,Bishen Singh as a Young Man,Unavailable,Asian Art,ca. 1780,2779,4000,0.69475,RGB,"India (Rajasthan, Uniara)",India,India
37914,Maharana Sangram Singh Hunting Wild Boar,Unavailable,Asian Art,ca. 1725,4000,2843,1.4069644741470275,RGB,"Western India, Rajasthan, Udaipur",India,India
37915,Maharana Amar Singh II or Sangram Singh Hunting Wild Boar,Unavailable,Asian Art,19th century,2697,4000,0.67425,RGB,"Western India, Rajasthan, Udaipur",India,India
37916,Maharana Jagat Singh II in Procession,Unavailable,Asian Art,ca. 1745,3041,4000,0.76025,RGB,"India (Rajasthan, Mewar)",India,India
37922,Horoscope with Floral Drawings,Unavailable,Asian Art,1850,3831,2675,1.4321495327102804,RGB,"India (Madhya Pradesh, Gwalior or Indore)",India,India
37924,Double Sided Painting; Male with Flower/ Soldier,Unavailable,Asian Art,mid-late 19th century,4000,2873,1.3922728854855553,RGB,India,India,India
37926,Priests before Shri Nathji,Unavailable,Asian Art,ca. 1820,3275,4000,0.81875,RGB,"India (Rajasthan, Kota)",India,India
37928,Seated Four-Armed Ganesha,Unavailable,Asian Art,ca. 1775,2688,4000,0.672,RGB,"India (Rajasthan, Bundi)",India,India
37945,Lady on a Terrace,Unavailable,Asian Art,18th century,3128,4000,0.782,RGB,"India (Punjab Hills, Chamba)",India,India
37959,Radha and Krishna on a Bed at Night,Unavailable,Asian Art,ca. 1830,2932,3791,0.77341070957531,RGB,"India (Punjab Hills, Sirmur)",India,India
37960,Hanuman Bearing the Mountaintop with Medicinal Herbs,Unavailable,Asian Art,ca. 1800,2563,2841,0.9021471312917988,RGB,India (Rajasthan),India,India
37968,Krishna and the Gopis Take Shelter from the Rain,Unavailable,Asian Art,1760,2845,3856,0.7378112033195021,RGB,"India (Rajasthan, Jaipur)",India,India
37970,"Portrait of a Lama, Possibly Dromton",Unavailable,Asian Art,last quarter of the 11th century,1440,1856,0.7758620689655172,RGB,China,China,China
37971,Lineage Portrait of an Abbot,Unavailable,Asian Art,ca. 1350,2905,3722,0.7804943578721117,RGB,Central Tibet,China,China
37974,Maharaja Fateh Singh Hunting Female Bears,Pannalai,Asian Art,dated 1917,4000,3274,1.221747098350641,RGB,"Western India, Rajasthan, Udaipur",India,India
37987,A Lady Gazing at Doves,Unavailable,Asian Art,ca. 1780–1800,1444,1912,0.7552301255230126,RGB,"India (Punjab Hills, Mandi)",India,India
37989,The Churning of the Ocean of Milk,Unavailable,Asian Art,ca. 1780–90,3726,3353,1.1112436623918878,RGB,"India (Punjab Hill, Mandi)",India,India
