objectID,Title,ArtistName,TimePeriod,Region Detailed,Country,Century,Culture,Height,Width,H/W Ratio,Color
39556,Joint Landscape,Shen Zhou,ca. 1509 and 1546,China,China,1500's,Asian Art,1961,1092,1.795787546,RGB
39641,Ink Making,Unidentified artist,early 19th century,China,China,1900's,Asian Art,566,682,0.829912023,RGB
39651,Equestrian Portrait of a Noble,Bakhta,ca. 1775,"India (Rajasthan, Devgarh)",India,1700's,Asian Art,4000,2988,1.338688086,RGB
39654,Garden of the Inept Administrator,Wen Zhengming,1551,China,China,1500's,Asian Art,2986,2843,1.05029898,RGB
39667,The Scholar Fu Sheng Transmitting the Book of Documents,Du Jin,15th–mid-16th century,China,China,1500's,Asian Art,1500,2000,0.75,RGB
39668,"Old Trees, Level Distance",Guo Xi,ca. 1080,China,China,1000's,Asian Art,3508,1872,1.873931624,RGB
39669,Taima Mandala,Unavailable,14th century,Japan,Japan,1400's,Asian Art,3288,4000,0.822,RGB
39714,View of a Garden Villa,Yuan Jiang,18th century (?),China,China,1800's,Asian Art,4000,3143,1.272669424,RGB
39725,Three Girls on a Riverbank,Torii Kiyonaga,early 19th century,Japan,Japan,1900's,Asian Art,3304,3000,1.101333333,RGB
39764,Ink Play,Jin Nong,dated 1754,China,China,1700's,Asian Art,2932,3521,0.832717978,RGB
39767,Grooms and Foreign Horses,Jin Nong,17th–18th century,China,China,1700's,Asian Art,553,694,0.796829971,RGB
39810,Bird peddler,Unidentified artist,late 15th–early 16th century,China,China,1500's,Asian Art,1137,1861,0.610961848,RGB
39881,Amitabha and Kshitigarba,Unidentified artist,first half of the 14th century,Korea,Korea,1400's,Asian Art,2520,4000,0.63,RGB
39882,Amitabha triad,Unidentified artist,ca. 13th century,Korea,Korea,1300's,Asian Art,2021,4000,0.50525,RGB
39883,Kshitigarbha,Unidentified artist,first half of the 14th century,Korea,Korea,1400's,Asian Art,3001,4000,0.75025,RGB
39887,Brahma with Attendants and Musicians,Unidentified artist,late 16th century,Korea,Korea,1600's,Asian Art,3736,3658,1.021323127,RGB
39889,Portrait of the Great Master Seosan,Unidentified artist,late 17th–18th century,Korea,Korea,1700's,Asian Art,2767,4000,0.69175,RGB
39894,Maharana Amar Singh II with Ladies of the Zenana outside the Picture Hall at Rajnagar,Stipple Master,ca. 1707–8,"India (Udaipur, Rajasthan)",India,1700's,Asian Art,3200,4000,0.8,RGB
39901,Night-Shining White,Han Gan,ca. 750,China,China,Before 1000,Asian Art,2000,1501,1.332445037,RGB
39933,"Sketch of an ""Inviting Rain"" Mandala",Unavailable,12th century,Japan,Japan,1200's,Asian Art,1500,2000,0.75,RGB
39935,Palace Ladies Bathing Children,Unidentified artist,11th century,China,China,1100's,Asian Art,1866,1062,1.757062147,RGB
39936,Finches and bamboo,Emperor Huizong,early 12th century,China,China,1200's,Asian Art,3824,2064,1.852713178,RGB
39937,Fish at play,Zhao Kexiong,12th–late 13th century,China,China,1200's,Asian Art,3841,3458,1.110757663,RGB
39993,Crane in a bamboo grove,Unidentified artist,14th–early 15th century,China,China,1400's,Asian Art,1314,1941,0.676970634,RGB
40002,Landscape in the style of Fan Kuan,Unidentified artist,early 12th century,China,China,1200's,Asian Art,1241,1942,0.639031926,RGB
40003,Travelers in a Wintry Forest,Unidentified artist,early 12th century,China,China,1200's,Asian Art,4000,3001,1.332889037,RGB
40010,Monkey and Bee,Okamoto Toyohiko,19th century,Japan,Japan,1900's,Asian Art,1671,2958,0.564908722,RGB
40021,Snow Clearing: Landscape after Li Cheng,Wang Hui,dated 1669,China,China,1600's,Asian Art,999,1941,0.514683153,RGB
40053,Xiantang Estuary,Xia Gui,ca. 1200,China,China,1200's,Asian Art,3887,3779,1.028578989,RGB
40055,Emperor Xuanzong's Flight to Shu,Unidentified artist,mid-12th century,China,China,1200's,Asian Art,1961,1471,1.33310673,RGB
40057,Fisherman's Lodge At Mount Xisai,Li Jie,ca. 1170,China,China,1100's,Asian Art,4000,2470,1.619433198,RGB
40072,Beauty Writing a Letter (copy of a section of the Hikone Screen),Unavailable,17th–18th century,Japan,Japan,1700's,Asian Art,5184,3456,1.5,RGB
40080,Fragrant Snow at Broken Bridge,Wang Mian,14th century,China,China,1400's,Asian Art,2061,3876,0.531733746,RGB
40081,Wang Xizhi watching geese,Qian Xuan,ca. 1295,China,China,1200's,Asian Art,1500,2000,0.75,RGB
40086,Scholar viewing a waterfall,Ma Yuan,late 12th–early 13th century,China,China,1200's,Asian Art,3407,3000,1.135666667,RGB
40106,Buddhist Temples amid Autumn Mountains,Unidentified artist,14th century,China,China,1400's,Asian Art,1993,1149,1.734551784,RGB
40133,Orchids,Ma Lin,second quarter of the 13th century,China,China,1300's,Asian Art,3250,3811,0.852794542,RGB
40137,Mandala of the Bodhisattva Monju (Manjushri) of the Eight Syllables,Unavailable,13th century,Japan,Japan,1300's,Asian Art,3001,4000,0.75025,RGB
40278,Meeting between Yaoshan and Li Ao,Zhiweng,before 1256,China,China,1200's,Asian Art,1501,2000,0.7505,RGB
