objectID,Title,ArtistName,TimePeriod,Region Detailed,Country,Century,Culture
40106,Buddhist Temples amid Autumn Mountains,Unidentified artist,14th century,China,China,1400's,Asian Art
40133,Orchids,Ma Lin,second quarter of the 13th century,China,China,1300's,Asian Art
40137,Mandala of the Bodhisattva Monju (Manjushri) of the Eight Syllables,Unavailable,13th century,Japan,Japan,1300's,Asian Art
40278,Meeting between Yaoshan and Li Ao,Zhiweng,before 1256,China,China,1200's,Asian Art
40282,Buddha Amitabha descending from his Pure Land,Unidentified artist,13th century,China,China,1300's,Asian Art
40284,Narcissus,Zhao Mengjian,mid-13th century,China,China,1300's,Asian Art
40303,Six Horses,Unidentified artists,13th–14th century,China,China,1300's,Asian Art
40336,Shiraito Waterfall at Hakone,Utagawa Hiroshige,19th century,Japan,Japan,1900's,Asian Art
40337,Koyurugi Beach of Sagami Province,Utagawa Hiroshige,19th century,Japan,Japan,1900's,Asian Art
40338,Kannon Slope of the Kiso Highway,Utagawa Hiroshige,19th century,Japan,Japan,1900's,Asian Art
40339,Shibaura Bay of Musashi Province,Utagawa Hiroshige,19th century,Japan,Japan,1900's,Asian Art
40340,Mt. Nokogiri Seen from a Distance,Utagawa Hiroshige,19th century,Japan,Japan,1900's,Asian Art
40341,Honmoku Bay of Musashi Province,Utagawa Hiroshige,19th century,Japan,Japan,1900's,Asian Art
40351,Bellflowers in Basket,Ogata Kenzan,18th century,Japan,Japan,1800's,Asian Art
40352,Three Beauties Playing Musical Instruments,Utagawa Kuniyoshi,19th century,Japan,Japan,1900's,Asian Art
40353,Mynah Birds Attacking an Owl,Sesson Shūkei,probably 19th century,Japan,Japan,1900's,Asian Art
40354,Camellia by Water,Ogata Kenzan,dated 1741,Japan,Japan,1700's,Asian Art
40393,The Pleasures of Fishes,Zhou Dongqing,dated 1291,China,China,1200's,Asian Art
40418,Landscape with Palace,Unavailable,Unavailable,China,China,Unavailable,Asian Art
40420,Lȕ Dongbin and the Spirit of the Peony,Unidentified artist,Unavailable,China,China,Unavailable,Asian Art
40427,Birds Pursued by an Eagle,Unavailable,late 17th century,Japan,Japan,1700's,Asian Art
40428,Examining the Hanging Picture,Unidentified artist,ca. 1650,Korea,Korea,1600's,Asian Art
40429,Pavilion by the Lake,Samoje,late 18th century,Korea,Korea,1800's,Asian Art
40430,The Wise Men and Scrolls,Unidentified artist,19th century,Korea,Korea,1900's,Asian Art
40431,Wise Men and Children,Unidentified artist,19th century,Korea,Korea,1900's,Asian Art
40432,Scholar in a Lakeside Pavilion,Samoje,late 18th century,Korea,Korea,1800's,Asian Art
40434,Scholars Strolling by the Waterfall,Unidentified artist,ca. 1650,Korea,Korea,1600's,Asian Art
40436,Examining Antiques at Literati Gathering,Wang Li Mu,18th century,Korea,Korea,1800's,Asian Art
40439,Shakyamuni coming down from the mountains,Unidentified artist,late 13th–early 14th century,China,China,1300's,Asian Art
40445,Plum Branch,Yi Yu-won,dated 1888,Korea,Korea,1800's,Asian Art
40448,Buddha Amitabha Descending from His Pure Land,Unavailable,late 13th century,China,China,1300's,Asian Art
40449,Buddha with Two Attendants,Unidentified artist,16th–17th century,probably Japan,Japan,1600's,Asian Art
40451,Rainy Landscape with Travelers,Unidentified artist,15th century,Korea,Korea,1500's,Asian Art
40452,Guanyin Seated on a Lotus Throne,Unavailable,15th century,Korea,Korea,1500's,Asian Art
40456,Bamboo and rocks,Li Kan,dated 1318,China,China,1300's,Asian Art
40462,Bean Vine,Itō Jakuchū,mid-18th century,Japan,Japan,1800's,Asian Art
40507,Grooms and Horses,Zhao Mengfu,dated 1296 and 1359,China,China,1200's,Asian Art
40511,Nine Songs,Zhao Mengfu,14th century (?),China,China,1400's,Asian Art
40516,Reading a Sutra by Moonlight,Unidentified artist,ca. 1332,China,China,1300's,Asian Art
40987,Snowy landscape with rustic riverside retreat,Liu Songnian,ca. late 12th century,China,China,1200's,Asian Art
41154,Wind among the Trees on the Riverbank,Ni Zan,1363,China,China,1300's,Asian Art
41185,Spring Clouds at the Pine Studio,Zhang Yu,dated 1366,China,China,1300's,Asian Art
41193,Crows in Old Trees,Luo Zhichuan,early 14th century,China,China,1400's,Asian Art
41194,Landscape after a poem by Wang Wei,Tang Di,dated 1323,China,China,1300's,Asian Art
41195,Returning Fishermen,Tang Di,dated 1342,China,China,1300's,Asian Art
41468,Fisherman,Wu Zhen,ca. 1350,China,China,1300's,Asian Art
41471,Autumn Landscape with Herons and Ducks,Lü Ji,Unavailable,China,China,Unavailable,Asian Art
41472,Guanyin as the Nine-Lotus Bodhisattva,Unidentified artist,1593,China,China,1500's,Asian Art
41474,Marshal Wang,Unidentified artist,dated 1542,China,China,1500's,Asian Art
41475,Guanyin the Bringer of Sons,Unidentified artist,late 16th century,China,China,1600's,Asian Art
41476,The Yellow Pavilion,Xia Yong,ca.  1350,China,China,1300's,Asian Art
41478,Elegant Gathering in the Apricot Garden,Xie Huan,ca. 1437,China,China,1400's,Asian Art
41480,Landscapes and Poems,Dong Qichang,"17th century, probably after 1625",China,China,1700's,Asian Art
41483,Landscapes and trees,Gong Xian,ca. 1679,China,China,1600's,Asian Art
